,data
533,1
534,0
535,0
536,1
537,2
538,0
539,2
540,2
541,0
542,1
543,0
544,0
545,1
546,1
547,0
548,1
549,0
550,0
551,0
552,0
553,0
554,0
555,1
556,2
557,1
558,1
559,0
560,1
561,3
562,0
563,0
564,0
565,1
566,0
567,1
568,2
569,1
570,1
571,0
572,0
573,2
574,2
575,2
576,1
577,1
578,0
579,0
580,0
581,0
582,1
583,1
584,1
585,0
586,1
587,0
588,1
589,1
590,2
591,2
592,0
593,0
594,0
595,1
596,2
597,2
598,2
599,0
600,2
601,0
602,1
603,1
604,1
605,0
606,2
607,0
608,0
609,1
610,2
611,0
612,1
613,1
614,0
615,2
616,1
617,0
618,0
619,2
620,0
621,1
622,0
623,1
624,1
625,2
626,1
627,2
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,3
636,1
637,2
638,0
639,1
640,0
641,1
642,0
643,0
644,2
645,2
646,2
647,0
648,1
649,0
650,0
651,0
652,0
653,2
654,2
655,1
656,1
657,1
658,1
659,1
660,1
661,0
662,0
663,0
664,0
665,0
666,2
667,1
668,1
669,0
670,0
671,2
672,0
673,2
674,0
675,0
676,1
677,0
678,1
679,0
680,1
681,1
682,0
683,2
684,0
685,0
686,1
687,0
688,1
689,0
690,2
691,0
692,1
693,0
694,1
695,2
696,0
697,1
698,1
699,0
700,0
701,0
702,1
703,2
704,2
705,1
706,2
707,0
708,0
709,0
710,2
711,1
712,2
713,2
714,1
715,0
716,2
717,2
718,0
719,1
720,0
721,2
722,1
723,2
724,1
725,0
726,1
727,0
728,1
729,1
730,2
731,0
732,1
733,1
734,0
735,0
736,2
737,0
738,0
739,1
740,0
741,2
742,3
743,0
744,1
745,0
746,1
747,0
748,0
749,0
750,1
751,1
752,0
753,1
754,0
755,0
756,0
757,1
758,1
759,2
760,0
761,0
762,1
763,1
764,0
765,0
766,2
767,0
768,0
769,0
770,0
771,1
772,2
773,1
774,2
775,0
776,0
777,0
778,0
779,0
780,2
781,0
782,0
783,0
784,2
785,0
786,0
787,1
788,0
789,2
790,2
791,0
792,1
793,0
794,2
795,2
796,0
797,0
798,1
799,2
800,0
801,2
802,0
803,2
804,1
805,0
806,1
807,2
808,0
809,0
810,0
811,0
812,0
813,2
814,1
815,1
816,0
817,2
818,2
819,0
820,2
821,0
822,0
823,0
824,1
825,1
826,2
827,0
828,0
829,2
830,0
831,0
832,1
833,1
834,1
835,0
836,1
837,0
838,1
839,0
840,1
841,1
842,2
843,2
844,1
845,1
846,2
847,0
848,0
849,0
850,1
851,1
852,2
853,1
854,0
855,1
856,2
857,0
858,1
859,1
860,0
861,2
862,2
863,0
864,0
865,2
866,1
867,2
868,0
869,0
870,0
871,1
872,0
873,1
874,1
875,0
876,0
877,0
878,1
879,2
880,0
881,0
882,0
883,2
884,1
885,0
886,1
887,0
888,2
889,0
890,1
891,0
892,1
893,0
894,1
895,1
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,1
904,1
905,0
906,0
907,1
908,0
909,2
910,0
911,0
912,1
913,1
914,0
915,1
916,0
917,0
918,2
919,2
920,0
921,0
922,1
923,1
924,1
925,1
926,0
927,0
928,1
929,0
930,0
931,1
932,0
933,2
934,0
935,1
936,0
937,0
938,0
939,2
940,2
941,2
942,0
943,0
944,1
945,1
946,1
947,0
948,0
949,2
950,0
951,2
952,0
953,2
954,1
955,3
956,0
957,1
958,0
959,0
960,1
961,0
962,2
963,2
964,0
965,3
966,0
967,0
968,0
969,0
970,0
971,1
972,1
973,1
974,1
975,0
976,2
977,0
978,1
979,1
980,2
981,0
982,2
983,0
984,0
985,0
986,1
987,0
988,1
989,1
990,1
991,0
992,2
993,1
994,1
995,2
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,1
1003,0
1004,2
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,2
1019,1
1020,0
1021,0
1022,0
1023,0
1024,2
1025,1
1026,0
1027,0
1028,1
1029,1
1030,0
1031,0
1032,1
1033,2
1034,0
1035,1
1036,1
1037,0
1038,2
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,2
1046,0
1047,0
1048,3
1049,1
1050,0
1051,0
1052,0
1053,1
1054,0
1055,1
1056,1
1057,0
1058,0
1059,1
1060,0
1061,0
1062,0
1063,1
1064,2
1065,1
1066,0
1067,0
1068,2
1069,1
1070,1
1071,2
1072,3
1073,1
1074,0
1075,1
1076,0
1077,1
1078,0
1079,1
1080,2
1081,2
1082,0
1083,1
1084,0
1085,1
1086,0
1087,2
1088,2
1089,2
1090,1
1091,2
1092,2
1093,2
1094,0
1095,0
1096,2
1097,0
1098,2
1099,2
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,0
1109,1
1110,0
1111,1
1112,0
1113,2
1114,1
1115,2
1116,1
1117,1
1118,0
1119,1
1120,2
1121,0
1122,0
1123,0
1124,2
1125,2
1126,1
1127,0
1128,0
1129,0
1130,0
1131,1
1132,0
1133,2
1134,0
1135,1
1136,1
1137,1
1138,0
1139,0
1140,2
1141,1
1142,0
1143,0
1144,0
1145,1
1146,0
1147,2
1148,1
1149,2
1150,0
1151,0
1152,1
1153,2
1154,0
1155,2
1156,0
1157,0
1158,2
1159,0
1160,0
1161,0
1162,2
1163,2
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,0
1171,2
1172,0
1173,2
1174,0
1175,2
1176,0
1177,2
1178,0
1179,0
1180,0
1181,2
1182,0
1183,0
1184,1
1185,2
1186,1
1187,1
1188,1
1189,0
1190,0
1191,2
1192,1
1193,1
1194,3
1195,0
1196,1
1197,1
1198,1
1199,1
1200,0
1201,2
1202,1
1203,0
1204,1
1205,1
1206,1
1207,0
1208,1
1209,0
1210,2
1211,0
1212,0
1213,0
1214,2
1215,2
1216,1
1217,1
1218,0
1219,2
1220,2
1221,1
1222,0
1223,0
1224,0
1225,0
1226,2
1227,1
1228,0
1229,0
1230,0
1231,0
1232,1
1233,2
1234,1
1235,2
1236,0
1237,0
1238,1
1239,0
1240,1
1241,2
1242,0
1243,1
1244,0
1245,2
1246,1
1247,2
1248,0
1249,1
1250,0
1251,0
1252,0
1253,1
1254,1
1255,0
1256,1
1257,2
1258,0
1259,1
1260,1
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,2
1270,2
1271,0
1272,0
1273,1
1274,2
1275,0
1276,0
1277,2
1278,1
1279,0
1280,0
1281,0
1282,1
1283,0
1284,1
1285,1
1286,0
1287,2
1288,1
1289,0
1290,0
1291,1
1292,1
1293,2
1294,1
1295,1
1296,1
1297,0
1298,1
1299,1
1300,0
1301,1
1302,0
1303,0
1304,0
1305,1
1306,0
1307,0
1308,0
1309,1
1310,1
1311,2
1312,0
1313,1
1314,2
1315,1
1316,1
1317,1
1318,0
1319,0
1320,0
1321,2
1322,0
1323,0
1324,1
1325,1
1326,0
1327,0
1328,2
1329,0
1330,0
1331,1
1332,1
1333,0
1334,2
1335,2
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,2
1343,0
1344,0
1345,2
1346,1
1347,0
1348,1
1349,0
1350,0
1351,1
1352,1
1353,2
1354,0
1355,1
1356,0
1357,1
1358,2
1359,0
1360,1
1361,0
1362,0
1363,1
1364,1
1365,1
1366,0
1367,2
1368,1
1369,0
1370,0
1371,2
1372,0
1373,1
1374,2
1375,2
1376,0
1377,0
1378,0
1379,0
1380,2
1381,0
1382,0
1383,1
1384,0
1385,1
1386,0
1387,2
1388,0
1389,1
1390,0
1391,0
1392,1
1393,2
1394,0
1395,0
1396,0
1397,0
1398,0
1399,1
1400,2
1401,0
1402,0
1403,0
1404,1
1405,1
1406,0
1407,2
1408,0
1409,0
1410,1
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,1
1421,0
1422,0
1423,1
1424,0
1425,1
1426,1
1427,2
1428,0
1429,0
1430,1
1431,1
1432,1
1433,0
1434,0
1435,0
1436,0
1437,2
1438,1
1439,2
1440,1
1441,1
1442,1
1443,0
1444,0
1445,1
1446,1
1447,3
1448,2
1449,0
1450,0
1451,0
1452,1
1453,0
1454,0
1455,1
1456,2
1457,2
1458,0
1459,1
1460,1
1461,0
1462,0
1463,0
1464,1
1465,2
1466,1
1467,0
1468,2
1469,0
1470,0
1471,0
1472,0
1473,2
1474,2
1475,1
1476,1
1477,1
1478,1
1479,2
1480,0
1481,2
1482,0
1483,2
1484,0
1485,0
1486,1
1487,1
1488,0
1489,1
1490,1
1491,2
1492,0
1493,0
1494,1
1495,1
1496,0
1497,2
1498,1
1499,2
1500,0
1501,0
1502,2
1503,0
1504,0
1505,3
1506,3
1507,1
1508,1
1509,0
1510,1
1511,0
1512,0
1513,0
1514,1
1515,2
1516,0
1517,1
1518,0
1519,1
1520,0
1521,1
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,1
1529,1
1530,0
1531,2
1532,0
1533,3
1534,1
1535,0
1536,0
1537,2
1538,0
1539,0
1540,0
1541,2
1542,3
1543,1
1544,2
1545,2
1546,1
1547,0
1548,0
1549,0
1550,1
1551,1
1552,0
1553,0
1554,1
1555,0
1556,0
1557,0
1558,1
1559,1
1560,0
1561,0
1562,0
1563,0
1564,1
1565,2
1566,0
1567,2
1568,0
1569,0
1570,0
1571,1
1572,2
1573,0
1574,2
1575,0
1576,0
1577,0
1578,1
1579,2
1580,2
1581,2
1582,2
1583,0
1584,0
1585,1
1586,0
1587,0
1588,0
1589,0
1590,1
1591,0
1592,1
1593,0
1594,2
1595,0
1596,0
1597,1
1598,0
1599,1
1600,1
1601,0
1602,0
1603,1
1604,0
1605,0
1606,1
1607,0
1608,0
1609,0
1610,2
1611,1
1612,0
1613,1
1614,0
1615,0
1616,3
1617,1
1618,2
1619,0
1620,2
1621,1
1622,2
1623,1
1624,1
1625,0
1626,1
1627,1
1628,1
1629,0
1630,0
1631,1
1632,0
1633,1
1634,0
1635,3
1636,0
1637,1
1638,0
1639,0
1640,0
1641,0
1642,0
1643,1
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,0
1651,2
1652,1
1653,2
1654,1
1655,0
1656,0
1657,0
1658,0
1659,1
1660,0
1661,2
1662,2
1663,0
1664,0
1665,2
1666,1
1667,0
1668,1
1669,2
1670,0
1671,2
1672,0
1673,0
1674,0
1675,2
1676,0
1677,1
1678,1
1679,1
1680,0
1681,0
1682,0
1683,0
1684,2
1685,0
1686,1
1687,3
1688,2
1689,1
1690,0
1691,1
1692,1
1693,1
1694,0
1695,2
1696,0
1697,0
1698,2
1699,1
1700,0
1701,0
1702,1
1703,0
1704,0
1705,1
1706,1
1707,1
1708,1
1709,0
1710,0
1711,1
1712,0
1713,0
1714,0
1715,1
1716,0
1717,1
1718,0
1719,1
1720,0
1721,0
1722,1
1723,1
1724,0
1725,1
1726,3
1727,2
1728,2
1729,1
1730,0
1731,0
1732,1
1733,2
1734,1
1735,0
1736,0
1737,0
1738,1
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,1
1746,3
1747,0
1748,1
1749,1
1750,1
1751,0
1752,0
1753,0
1754,2
1755,1
1756,1
1757,2
1758,0
1759,2
1760,0
1761,2
1762,2
1763,1
1764,1
1765,1
1766,0
1767,1
1768,2
1769,0
1770,2
1771,0
1772,1
1773,0
1774,1
1775,1
1776,1
1777,1
1778,0
1779,1
1780,2
1781,1
1782,0
1783,1
1784,0
1785,2
1786,1
1787,2
1788,1
1789,0
1790,0
1791,0
1792,1
1793,0
1794,1
1795,1
1796,0
1797,0
1798,3
1799,1
1800,2
1801,2
1802,2
1803,1
1804,1
1805,2
1806,1
1807,0
1808,1
1809,0
1810,1
1811,0
1812,2
1813,0
1814,0
1815,1
1816,1
1817,0
1818,1
1819,1
1820,1
1821,2
1822,0
1823,0
1824,2
1825,0
1826,3
1827,2
1828,0
1829,1
1830,1
1831,0
1832,2
1833,1
1834,0
1835,2
1836,1
1837,1
1838,2
1839,0
1840,0
1841,2
1842,2
1843,1
1844,2
1845,0
1846,1
1847,0
1848,2
1849,2
1850,1
1851,0
1852,2
1853,2
1854,1
1855,0
1856,1
1857,1
1858,0
1859,0
1860,0
1861,0
1862,0
1863,2
1864,0
1865,0
1866,1
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,1
1876,1
1877,2
1878,0
1879,1
1880,2
1881,0
1882,0
1883,0
1884,2
1885,0
1886,0
1887,2
1888,1
1889,0
1890,0
1891,0
1892,0
1893,0
1894,1
1895,2
1896,0
1897,0
1898,2
1899,1
1900,1
1901,0
1902,2
1903,2
1904,0
1905,0
1906,0
1907,1
1908,0
1909,3
1910,2
1911,2
1912,0
1913,0
1914,0
1915,0
1916,0
1917,1
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,1
1925,1
1926,0
1927,0
1928,1
1929,0
1930,1
1931,2
1932,0
1933,2
1934,0
1935,0
1936,2
1937,3
1938,1
1939,0
1940,2
1941,2
1942,1
1943,0
1944,0
1945,1
1946,1
1947,1
1948,0
1949,0
1950,1
1951,0
1952,1
1953,2
1954,0
1955,2
1956,1
1957,1
1958,0
1959,2
1960,1
1961,0
1962,0
1963,1
1964,0
1965,2
1966,2
1967,1
1968,1
1969,2
1970,0
1971,1
1972,3
1973,1
1974,0
1975,0
1976,0
1977,0
1978,0
1979,2
1980,1
1981,0
1982,1
1983,0
1984,0
1985,1
1986,1
1987,2
1988,0
1989,0
1990,0
1991,1
1992,2
1993,0
1994,0
1995,1
1996,0
1997,1
1998,0
1999,0
2000,2
2001,0
2002,0
2003,1
2004,1
2005,1
2006,1
2007,1
2008,0
2009,0
2010,0
2011,0
2012,1
2013,0
2014,0
2015,0
2016,2
2017,2
2018,0
2019,0
2020,0
2021,0
2022,1
2023,0
2024,0
2025,1
2026,0
2027,1
2028,0
2029,0
2030,0
2031,1
2032,0
2033,2
2034,1
2035,0
2036,1
2037,1
2038,0
2039,0
2040,0
2041,1
2042,1
2043,0
2044,0
2045,2
2046,0
2047,0
2048,1
2049,0
2050,0
2051,0
2052,2
2053,0
2054,1
2055,1
2056,1
2057,2
2058,0
2059,0
2060,0
2061,0
2062,1
2063,0
2064,2
2065,0
2066,2
2067,2
2068,0
2069,1
2070,1
2071,1
2072,2
2073,2
2074,0
2075,0
2076,0
2077,0
2078,1
2079,0
2080,0
2081,1
2082,1
2083,0
2084,1
2085,2
2086,1
2087,2
2088,1
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,2
2096,0
2097,0
2098,0
2099,0
2100,0
2101,1
2102,2
2103,1
2104,0
2105,1
2106,1
2107,0
2108,0
2109,0
2110,2
2111,1
2112,0
2113,2
2114,2
2115,0
2116,0
2117,1
2118,0
2119,1
2120,1
2121,0
2122,2
2123,0
2124,0
2125,0
2126,2
2127,0
2128,0
2129,0
2130,0
2131,0
2132,1
2133,1
2134,0
2135,0
2136,2
2137,1
2138,2
2139,1
2140,2
2141,0
2142,1
2143,0
2144,2
2145,2
2146,3
2147,0
2148,2
2149,2
2150,0
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,0
2158,2
2159,0
2160,1
2161,1
2162,1
2163,1
2164,0
2165,0
2166,1
2167,1
2168,0
2169,0
2170,0
2171,1
2172,0
2173,1
2174,0
2175,1
2176,0
2177,0
2178,0
2179,0
2180,0
2181,2
2182,0
2183,0
2184,0
2185,1
2186,0
2187,0
2188,2
2189,2
2190,1
2191,1
2192,2
2193,0
2194,2
2195,0
2196,2
2197,0
2198,0
2199,0
2200,0
2201,0
2202,3
2203,0
2204,0
2205,0
2206,0
2207,1
2208,0
2209,1
2210,1
2211,0
2212,0
2213,1
2214,0
2215,0
2216,2
2217,0
2218,3
2219,1
2220,1
2221,0
2222,0
2223,3
2224,2
2225,0
2226,0
2227,1
2228,0
2229,1
2230,0
2231,0
2232,0
2233,0
2234,1
2235,1
2236,0
2237,1
2238,0
2239,1
2240,1
2241,1
2242,0
2243,0
2244,1
2245,1
2246,0
2247,1
2248,1
2249,0
2250,3
2251,1
2252,0
2253,0
2254,2
2255,0
2256,2
2257,2
2258,0
2259,2
2260,2
2261,0
2262,1
2263,1
2264,0
2265,1
2266,0
2267,1
2268,1
2269,2
2270,2
2271,0
2272,2
2273,3
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,1
2281,1
2282,0
2283,1
2284,2
2285,0
2286,2
2287,3
2288,1
2289,0
2290,1
2291,0
2292,0
2293,0
2294,0
2295,1
2296,0
2297,1
2298,0
2299,0
2300,1
2301,0
2302,0
2303,1
2304,1
2305,0
2306,1
2307,1
2308,1
2309,1
2310,0
2311,0
2312,1
2313,0
2314,2
2315,0
2316,1
2317,2
2318,2
2319,0
2320,0
2321,0
2322,0
2323,2
2324,2
2325,2
2326,2
2327,1
2328,1
2329,0
2330,2
2331,2
2332,1
2333,0
2334,0
2335,1
2336,0
2337,3
2338,0
2339,1
2340,0
2341,1
2342,0
2343,1
2344,2
2345,1
2346,2
2347,1
2348,1
2349,0
2350,2
2351,0
2352,0
2353,0
2354,2
2355,0
2356,1
2357,1
2358,0
2359,1
2360,0
2361,1
2362,1
2363,1
2364,2
2365,0
2366,0
2367,2
2368,2
2369,1
2370,0
2371,2
2372,0
2373,2
2374,2
2375,0
2376,1
2377,0
2378,0
2379,0
2380,2
2381,2
2382,1
2383,2
2384,0
2385,1
2386,1
2387,0
2388,2
2389,2
2390,0
2391,1
2392,0
2393,1
2394,2
2395,1
2396,1
2397,0
2398,1
2399,0
2400,0
2401,0
2402,2
2403,1
2404,0
2405,1
2406,1
2407,0
2408,0
2409,2
2410,1
2411,1
2412,1
2413,0
2414,0
2415,0
2416,2
2417,2
2418,2
2419,1
2420,0
2421,1
2422,0
2423,1
2424,0
2425,2
2426,0
2427,1
2428,0
2429,2
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,2
2438,0
2439,0
2440,1
2441,2
2442,1
2443,0
2444,1
2445,2
2446,0
2447,1
2448,2
2449,1
2450,2
2451,1
2452,0
2453,1
2454,2
2455,0
2456,2
2457,2
2458,1
2459,2
2460,0
2461,0
2462,0
2463,1
2464,1
2465,2
2466,1
2467,0
2468,0
2469,0
2470,0
2471,1
2472,0
2473,0
2474,1
2475,0
2476,0
2477,2
2478,1
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,1
2487,1
2488,0
2489,1
2490,1
2491,0
2492,1
2493,0
2494,0
2495,0
2496,0
2497,0
2498,1
2499,0
2500,1
2501,0
2502,0
2503,2
2504,2
2505,0
2506,0
2507,1
2508,0
2509,0
2510,1
2511,1
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,1
2519,0
2520,1
2521,2
2522,2
2523,2
2524,2
2525,0
2526,2
2527,1
2528,2
2529,0
2530,1
2531,0
2532,0
2533,1
2534,1
2535,1
2536,2
2537,1
2538,0
2539,2
2540,3
2541,0
2542,0
2543,3
2544,2
2545,1
2546,0
2547,2
2548,1
2549,0
2550,2
2551,0
2552,1
2553,1
2554,0
2555,0
2556,2
2557,1
2558,2
2559,0
2560,0
2561,0
2562,0
2563,2
2564,0
2565,1
2566,0
2567,2
2568,0
2569,0
2570,1
2571,0
2572,0
2573,2
2574,0
2575,0
2576,0
2577,1
2578,1
2579,1
2580,0
2581,2
2582,0
2583,0
2584,0
2585,0
2586,3
2587,0
2588,0
2589,2
2590,0
2591,0
2592,0
2593,2
2594,1
2595,1
2596,0
2597,0
2598,0
2599,1
2600,1
2601,0
2602,2
2603,0
2604,1
2605,0
2606,2
2607,1
2608,1
2609,0
2610,2
2611,0
2612,0
2613,1
2614,1
2615,2
2616,0
2617,0
2618,1
2619,2
2620,2
2621,1
2622,0
2623,0
2624,1
2625,0
2626,0
2627,1
2628,0
2629,2
2630,0
2631,0
2632,0
2633,2
2634,1
2635,2
2636,0
2637,0
2638,0
2639,0
2640,2
2641,0
2642,2
2643,0
2644,2
2645,2
2646,0
2647,2
2648,0
2649,0
2650,1
2651,1
2652,1
2653,1
2654,0
2655,0
2656,1
2657,0
2658,0
2659,0
2660,0
2661,0
2662,1
2663,2
2664,2
2665,1
2666,1
2667,0
2668,2
2669,2
2670,2
2671,0
2672,2
2673,1
2674,0
2675,1
2676,1
2677,1
2678,1
2679,0
2680,1
2681,0
2682,1
2683,1
2684,3
2685,0
2686,0
2687,0
2688,0
2689,0
2690,1
2691,0
2692,0
2693,2
2694,0
2695,0
2696,1
2697,0
2698,0
2699,2
2700,0
2701,0
2702,0
2703,0
2704,1
2705,1
2706,0
2707,1
2708,2
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,1
2716,2
2717,0
2718,0
2719,0
2720,1
2721,0
2722,2
2723,0
2724,0
2725,1
2726,0
2727,2
2728,1
2729,0
2730,1
2731,1
2732,1
2733,1
2734,0
2735,0
2736,1
2737,1
2738,1
2739,0
2740,0
2741,1
2742,1
2743,1
2744,1
2745,0
2746,2
2747,1
2748,1
2749,1
2750,0
2751,0
2752,1
2753,2
2754,1
2755,0
2756,0
2757,0
2758,1
2759,0
2760,1
2761,2
2762,2
2763,0
2764,0
2765,0
2766,1
2767,1
2768,0
2769,0
2770,0
2771,0
2772,0
2773,0
2774,1
2775,0
2776,0
2777,1
2778,2
2779,0
2780,1
2781,2
2782,1
2783,1
2784,0
2785,1
2786,0
2787,0
2788,0
2789,2
2790,0
2791,1
2792,0
2793,0
2794,0
2795,0
2796,1
2797,2
2798,0
2799,2
2800,2
2801,1
2802,0
2803,0
2804,0
2805,1
2806,0
2807,2
2808,1
2809,1
2810,0
2811,1
2812,2
2813,0
2814,0
2815,0
2816,0
2817,1
2818,1
2819,0
2820,0
2821,2
2822,1
2823,1
2824,0
2825,0
2826,1
2827,0
2828,0
2829,1
2830,0
2831,0
2832,0
2833,1
2834,1
2835,0
2836,1
2837,0
2838,0
2839,1
2840,0
2841,0
2842,1
2843,0
2844,0
2845,1
2846,0
2847,1
2848,1
2849,1
2850,0
2851,1
2852,0
2853,0
2854,0
2855,1
2856,0
2857,0
2858,2
2859,1
2860,1
2861,0
2862,2
2863,2
2864,2
2865,1
2866,0
2867,0
2868,0
2869,2
2870,1
2871,1
2872,2
2873,1
2874,1
2875,0
2876,1
2877,1
2878,0
2879,2
2880,1
2881,0
2882,2
2883,0
2884,2
2885,2
2886,0
2887,1
2888,1
2889,1
2890,1
2891,0
2892,0
2893,2
2894,0
2895,1
2896,1
2897,0
2898,1
2899,1
2900,0
2901,2
2902,0
2903,0
2904,1
2905,1
2906,2
2907,1
2908,1
2909,1
2910,1
2911,1
2912,1
2913,1
2914,0
2915,0
2916,1
2917,2
2918,0
2919,1
2920,3
2921,0
2922,0
2923,1
2924,0
2925,1
2926,0
2927,0
2928,1
2929,0
2930,2
2931,0
2932,2
2933,0
2934,1
2935,0
2936,0
2937,2
2938,0
2939,2
2940,1
2941,0
2942,0
2943,1
2944,1
2945,0
2946,1
2947,2
2948,2
2949,1
2950,0
2951,0
2952,2
2953,1
2954,0
2955,2
2956,0
2957,0
2958,1
2959,0
2960,0
2961,1
2962,0
2963,0
2964,0
2965,1
2966,1
2967,0
2968,0
2969,0
2970,0
2971,1
2972,1
2973,1
2974,0
2975,0
2976,1
2977,1
2978,1
2979,0
2980,0
2981,1
2982,2
2983,0
2984,2
2985,1
2986,1
2987,0
2988,2
2989,0
2990,0
2991,0
2992,1
2993,2
2994,1
2995,0
2996,1
2997,1
